SampleID	Date	SampleType	Location	Rep	Plot	GrowthCondtion	Genotype	SorghumType	Plate	GrowthCondtion_Genotype	Genotype_GrowthCondtion	Variety	Variety_GrowthCondtion	GrowthCondtion_Variety	Race	Population	Class	Race_info
CC0504LS10R0718177109	71817	Root	CentralCity	Rep5	Plot4	LowN	S10	China17	Plate81	LowN_S10	S10_LowN	Sweet	Sweet_LowN	LowN_Sweet	Bicolor	F7	Sensitive	Bicolor
CC0606FS10R0718177131	71817	Root	CentralCity	Rep6	Plot6	HighN	S10	China17	Plate88	HighN_S10	S10_HighN	Sweet	Sweet_HighN	HighN_Sweet	Bicolor	F7	Sensitive	Bicolor
CC0606LS10R0718177152	71817	Root	CentralCity	Rep6	Plot6	LowN	S10	China17	Plate80	LowN_S10	S10_LowN	Sweet	Sweet_LowN	LowN_Sweet	Bicolor	F7	Sensitive	Bicolor
CC0703FS10R0718177196	71817	Root	CentralCity	Rep7	Plot3	HighN	S10	China17	Plate86	HighN_S10	S10_HighN	Sweet	Sweet_HighN	HighN_Sweet	Bicolor	F7	Sensitive	Bicolor
CC0703LS10R0718177172	71817	Root	CentralCity	Rep7	Plot3	LowN	S10	China17	Plate86	LowN_S10	S10_LowN	Sweet	Sweet_LowN	LowN_Sweet	Bicolor	F7	Sensitive	Bicolor
CC0806FS10R0718178587	71817	Root	CentralCity	Rep8	Plot6	HighN	S10	China17	Plate93	HighN_S10	S10_HighN	Sweet	Sweet_HighN	HighN_Sweet	Bicolor	F7	Sensitive	Bicolor
CC0806LS10R0718177242	71817	Root	CentralCity	Rep8	Plot6	LowN	S10	China17	Plate83	LowN_S10	S10_LowN	Sweet	Sweet_LowN	LowN_Sweet	Bicolor	F7	Sensitive	Bicolor
CC0105FS2R0718176935	71817	Root	CentralCity	Rep1	Plot5	HighN	S2	SanChiSan	Plate88	HighN_S2	S2_HighN	Sweet	Sweet_HighN	HighN_Sweet	Bicolor	F7	Tolerant	Bicolor
CC0105LS2R0718176914	71817	Root	CentralCity	Rep1	Plot5	LowN	S2	SanChiSan	Plate85	LowN_S2	S2_LowN	Sweet	Sweet_LowN	LowN_Sweet	Bicolor	F7	Tolerant	Bicolor
CC0204FS2R0718176977	71817	Root	CentralCity	Rep2	Plot4	HighN	S2	SanChiSan	Plate83	HighN_S2	S2_HighN	Sweet	Sweet_HighN	HighN_Sweet	Bicolor	F7	Tolerant	Bicolor
CC0305FS2R0718176998	71817	Root	CentralCity	Rep3	Plot5	HighN	S2	SanChiSan	Plate85	HighN_S2	S2_HighN	Sweet	Sweet_HighN	HighN_Sweet	Bicolor	F7	Tolerant	Bicolor
CC0305LS2R0718177019	71817	Root	CentralCity	Rep3	Plot5	LowN	S2	SanChiSan	Plate87	LowN_S2	S2_LowN	Sweet	Sweet_LowN	LowN_Sweet	Bicolor	F7	Tolerant	Bicolor
CC0406FS2R0718177067	71817	Root	CentralCity	Rep4	Plot6	HighN	S2	SanChiSan	Plate87	HighN_S2	S2_HighN	Sweet	Sweet_HighN	HighN_Sweet	Bicolor	F7	Tolerant	Bicolor
CC0503FS2R0718177087	71817	Root	CentralCity	Rep5	Plot3	HighN	S2	SanChiSan	Plate87	HighN_S2	S2_HighN	Sweet	Sweet_HighN	HighN_Sweet	Bicolor	F7	Tolerant	Bicolor
CC0503LS2R0718177108	71817	Root	CentralCity	Rep5	Plot3	LowN	S2	SanChiSan	Plate81	LowN_S2	S2_LowN	Sweet	Sweet_LowN	LowN_Sweet	Bicolor	F7	Tolerant	Bicolor
CC0603FS2R0718178586	71817	Root	CentralCity	Rep6	Plot3	HighN	S2	SanChiSan	Plate90	HighN_S2	S2_HighN	Sweet	Sweet_HighN	HighN_Sweet	Bicolor	F7	Tolerant	Bicolor
CC0603LS2R0718177150	71817	Root	CentralCity	Rep6	Plot3	LowN	S2	SanChiSan	Plate85	LowN_S2	S2_LowN	Sweet	Sweet_LowN	LowN_Sweet	Bicolor	F7	Tolerant	Bicolor
CC0706LS2R0718177175	71817	Root	CentralCity	Rep7	Plot6	LowN	S2	SanChiSan	Plate87	LowN_S2	S2_LowN	Sweet	Sweet_LowN	LowN_Sweet	Bicolor	F7	Tolerant	Bicolor
